ID,Proyecto,Cliente,Monto_Total,Monto_Cobrado,Saldo_Pendiente,Estado,Fecha_Emision,Fecha_Vencimiento
2e7c81c3-5804-8163-901e-f3ba44a60b19,,2e7c81c3-5804-81b6-9e8f-c13de3280b42,0,0,"$0,00",Pendiente,,
2e7c81c3-5804-8182-8e28-d3bb8542252c,,,0,0,"$0,00",Pendiente,,
